title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
Tengoku to jigoku,1963.0,143,"Crime, Drama, Mystery",8.4,79.0,34357,23530892.0,"['Crime', 'Drama', 'Mystery']",Crime
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95,Comedy,8.4,97.0,450474,275902.0,['Comedy'],Comedy
Witness for the Prosecution,1957.0,116,"Crime, Drama, Mystery",8.4,79.0,108862,8175000.0,"['Crime', 'Drama', 'Mystery']",Crime
Paths of Glory,1957.0,88,"Drama, War",8.4,90.0,178092,23530892.0,"['Drama', 'War']",Drama
Rear Window,1954.0,112,"Mystery, Thriller",8.4,100.0,444074,36764313.0,"['Mystery', 'Thriller']",Mystery
Sunset Blvd.,1950.0,110,"Drama, Film-Noir",8.4,79.0,201632,23530892.0,"['Drama', 'Film-Noir']",Drama
The Great Dictator,1940.0,125,"Comedy, Drama, War",8.4,79.0,203150,288475.0,"['Comedy', 'Drama', 'War']",Comedy
1917,2019.0,119,"Drama, Thriller, War",8.3,78.0,425844,159227644.0,"['Drama', 'Thriller', 'War']",Drama
Tumbbad,2018.0,104,"Drama, Fantasy, Horror",8.3,79.0,27793,23530892.0,"['Drama', 'Fantasy', 'Horror']",Drama
Andhadhun,2018.0,139,"Crime, Drama, Music",8.3,79.0,71875,1373943.0,"['Crime', 'Drama', 'Music']",Crime
Drishyam,2013.0,160,"Crime, Drama, Thriller",8.3,79.0,30722,23530892.0,"['Crime', 'Drama', 'Thriller']",Crime
Jagten,2012.0,115,Drama,8.3,77.0,281623,687185.0,['Drama'],Drama
Jodaeiye Nader az Simin,2011.0,123,Drama,8.3,95.0,220002,7098492.0,['Drama'],Drama
Incendies,2010.0,131,"Drama, Mystery, War",8.3,80.0,150023,6857096.0,"['Drama', 'Mystery', 'War']",Drama
Miracle in cell NO.7,2019.0,132,Drama,8.3,79.0,33935,23530892.0,['Drama'],Drama
Babam ve Oglum,2005.0,112,"Drama, Family",8.3,79.0,78925,23530892.0,"['Drama', 'Family']",Drama
Inglourious Basterds,2009.0,153,"Adventure, Drama, War",8.3,69.0,1267869,120540719.0,"['Adventure', 'Drama', 'War']",Adventure
Eternal Sunshine of the Spotless Mind,2004.0,108,"Drama, Romance, Sci-Fi",8.3,89.0,911664,34400301.0,"['Drama', 'Romance', 'Sci-Fi']",Drama
Amélie,2001.0,122,"Comedy, Romance",8.3,69.0,703810,33225499.0,"['Comedy', 'Romance']",Comedy
Snatch,2000.0,104,"Comedy, Crime",8.3,55.0,782001,30328156.0,"['Comedy', 'Crime']",Comedy
Requiem for a Dream,2000.0,102,Drama,8.3,68.0,766870,3635482.0,['Drama'],Drama
American Beauty,1999.0,122,Drama,8.3,84.0,1069738,130096601.0,['Drama'],Drama
Good Will Hunting,1997.0,126,"Drama, Romance",8.3,70.0,861606,138433435.0,"['Drama', 'Romance']",Drama
